CRN,Course,Section,Title,Days,Times,Instructor,Loc,Class Info
24350,COMM 1,57Z,Public SpeakingView Footnote,·······,TBA-TBA,Roxanne Cnudde,ONLINE,$0OL
24351,COMM 1,58Z,Public SpeakingView Footnote,·······,TBA-TBA,Tina Lim,ONLINE,$0OL
25455,COMM 1,59Z,Public SpeakingView Footnote,·······,TBA-TBA,Nick Chivers,ONLINE,$0OL
26309,COMM 1,60Z,Public SpeakingView Footnote,·······,TBA-TBA,Roxanne Cnudde,ONLINE,$0OL
27361,COMM 1,62Z,Public SpeakingView Footnote,·······,TBA-TBA,Tina Lim,ONLINE,$0OL
28016,COMM 1,63Z,Public SpeakingView Footnote,·······,TBA-TBA,Royce Cano,ONLINE,OL
27732,COMM 7,01Y,Intercultural CommunicationView Footnote,M······,09:30 AM-11:20 AM,Nick Chivers,MLC111,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27733,COMM 7,02Y,Intercultural CommunicationView Footnote,··W····,09:30 AM-11:20 AM,Thalia Bobadilla,MLC111,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24372,COMM 8,01Y,Argumentation and Critical Inquiry in Oral CommunicationView Footnote,·T·R···,09:30 AM-11:20 AM,Alex Kramer,L45,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24373,COMM 8,51Z,Argumentation and Critical Inquiry in Oral CommunicationView Footnote,·······,TBA-TBA,Alex Kramer,ONLINE,$0OL
24374,COMM 9,01Y,Argumentation: Analysis of Oral and Written CommunicationView Footnote,·T·····,04:00 PM-06:15 PM,Brandon Gainer,L49,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24375,COMM 9,51Z,Argumentation: Analysis of Oral and Written CommunicationView Footnote,·······,TBA-TBA,Brandon Gainer,ONLINE,$0OL
24904,COMM 10,01Y,Fundamentals of Oral CommunicationView Footnote,M·W····,08:30 AM-10:20 AM,Russell Hong,L49,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24377,COMM 10,02Y,Fundamentals of Oral CommunicationView Footnote,M·W····,09:30 AM-11:20 AM,Lucas Wang,L43,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24378,COMM 10,03Y,Fundamentals of Oral CommunicationView Footnote,M·W····,10:30 AM-12:20 PM,Russell Hong,L49,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24379,COMM 10,04Y,Fundamentals of Oral CommunicationView Footnote,M·W····,11:30 AM-01:20 PM,Thalia Bobadilla,MLC111,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24380,COMM 10,05Y,Fundamentals of Oral CommunicationView Footnote,M·W····,01:30 PM-03:20 PM,Russell Hong,L48,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24382,COMM 10,06Y,Fundamentals of Oral CommunicationView Footnote,·T·R···,09:30 AM-11:20 AM,Morgan McKnight,L43,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24383,COMM 10,07Y,Fundamentals of Oral CommunicationView Footnote,·T·R···,10:30 AM-12:20 PM,David Hamilton,L83,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24384,COMM 10,08Y,Fundamentals of Oral CommunicationView Footnote,·T·R···,11:30 AM-01:20 PM,Patrick McDonnell,L43,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24385,COMM 10,09Y,Fundamentals of Oral CommunicationView Footnote,·T·R···,12:30 PM-02:20 PM,Anya Iyengar,ADM103,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24386,COMM 10,10Y,Fundamentals of Oral CommunicationView Footnote,·T·R···,01:30 PM-03:20 PM,Patrick McDonnell,L49,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24390,COMM 10,11Y,Fundamentals of Oral CommunicationView Footnote,·T·R···,03:30 PM-05:20 PM,Anya Iyengar,L45,$LHY
TBA,·······,TBA-TBA,,ONLINE,,,,
24376,COMM 10,50Z,Fundamentals of Oral CommunicationView Footnote,·······,TBA-TBA,Stephanie Anderson,ONLINE,$0OL
24391,COMM 10,51Z,Fundamentals of Oral CommunicationView Footnote,·······,TBA-TBA,Stephanie Anderson,ONLINE,$0OL
24393,COMM 15,01Y,Critical Decision-Making in GroupsView Footnote,···R···,04:00 PM-06:15 PM,Stephanie Anderson,L49,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24394,COMM 15,51Z,Critical Decision-Making in GroupsView Footnote,·······,TBA-TBA,Brandon Gainer,ONLINE,OL
24395,COMM 16,01Y,Interpersonal CommunicationView Footnote,M·W····,11:30 AM-01:20 PM,Nick Chivers,MLC112,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24396,COMM 16,50Z,Interpersonal CommunicationView Footnote,·······,TBA-TBA,Nick Chivers,ONLINE,OL
27155,COMM 70,50Z,Organizational CommunicationView Footnote,·······,TBA-TBA,Shagundeep Kaur,ONLINE,$0OL
27642,DANC 22,01,Body Awareness and Conditioning for DancersView Footnote,·T·R···,09:30 AM-10:45 AM,Janet Shaw,PE11U,
21652,DANC 22K,01,Theory and Technique of Ballet IView Footnote,·T·R···,11:30 AM-12:45 PM,Janet Shaw,PE11U,
21683,DANC 22L,01,Theory and Technique of Ballet IIView Footnote,·T·R···,11:30 AM-12:45 PM,Janet Shaw,PE11U,
22255,DANC 22M,01,Theory and Technique of Ballet IIIView Footnote,·T·R···,11:30 AM-12:45 PM,Janet Shaw,PE11U,
23048,DANC 38A,01,Appreciation of DanceView Footnote,·T·R···,09:30 AM-11:20 AM,Warren Lucas,A11,
23049,DANC 38A,50Z,Appreciation of DanceView Footnote,·······,TBA-TBA,Vernon Gallegos,ONLINE,OL
00637,ECON 1,01Y,Principles of MacroeconomicsView Footnote,···R···,10:30 AM-12:20 PM,Ravjeet Singh,S56,$LHY
CLAS,·······,TBA-TBA,,ONLINE,,,,
00648,ECON 1,02Z,Principles of MacroeconomicsView Footnote,····F··,09:30 AM-01:20 PM,John Brady,ONLINE,OL
00644,ECON 1,04,Principles of MacroeconomicsView Footnote,·T·R···,01:30 PM-03:20 PM,Ninos Malek,L72,
24092,ECON 1,06Y,Principles of MacroeconomicsView Footnote,M······,01:30 PM-03:20 PM,Monika Thomas,MLC109,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
24699,ECON 1,51Z,Principles of MacroeconomicsView Footnote,·······,TBA-TBA,Ravjeet Singh,ONLINE,OL
27712,ECON 1,52Z,Principles of MacroeconomicsView Footnote,·······,TBA-TBA,Stephen Blohm,ONLINE,OLLQ
00643,ECON 1,53Z,Principles of MacroeconomicsView Footnote,·······,TBA-TBA,Ninos Malek,ONLINE,OL
28004,ECON 1,54Z,Principles of Macroeconomics,·······,TBA-TBA,Manisha Perera,ONLINE,OLLQ
00646,ECON 1,55Z,Principles of MacroeconomicsView Footnote,·······,TBA-TBA,Stephen Zill,ONLINE,OL
25851,ECON 1,57Z,Principles of MacroeconomicsView Footnote,·······,TBA-TBA,Monika Thomas,ONLINE,OL
27036,ECON 1,61,Principles of MacroeconomicsView Footnote,·T·····,06:30 PM-10:20 PM,Ninos Malek,MCC-17,
20265,ECON 1,62Z,Principles of MacroeconomicsView Footnote,·······,TBA-TBA,Don Uy-Barreta,ONLINE,OL
27886,ECON 1H,01Y,Principles of Macroeconomics - HONORSView Footnote,···R···,10:30 AM-12:20 PM,Ravjeet Singh,S56,$LHY
CLAS,·······,TBA-TBA,,ONLINE,,,,
28007,ECON 1H,55Z,Principles of Macroeconomics - HONORSView Footnote,·······,TBA-TBA,Stephen Zill,ONLINE,OL
27709,ECON 2,01Y,Principles of MicroeconomicsView Footnote,··W····,01:30 PM-03:20 PM,Stephen Zill,S56,HYLQ
CLAS,·······,TBA-TBA,,ONLINE,,,,
27711,ECON 2,02Y,Principles of MicroeconomicsView Footnote,M······,10:30 AM-12:20 PM,Monika Thomas,L26,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
00659,ECON 2,03,Principles of MicroeconomicsView Footnote,·T·R···,10:30 AM-12:20 PM,Ninos Malek,L74,
24172,ECON 2,04Y,Principles of MicroeconomicsView Footnote,M······,06:30 PM-08:20 PM,Abdullahi Koshin,MLC103,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
25248,ECON 2,50Z,Principles of MicroeconomicsView Footnote,·······,TBA-TBA,Ravjeet Singh,ONLINE,$LOL
00654,ECON 2,51Z,Principles of MicroeconomicsView Footnote,·······,TBA-TBA,Monika Thomas,ONLINE,OL
00655,ECON 2,52Z,Principles of MicroeconomicsView Footnote,·······,TBA-TBA,Ravjeet Singh,ONLINE,OL
00657,ECON 2,53Z,Principles of MicroeconomicsView Footnote,·······,TBA-TBA,Don Uy-Barreta,ONLINE,OL
27705,ECON 2,54Z,Principles of MicroeconomicsView Footnote,·······,TBA-TBA,Manisha Perera,ONLINE,OL
27708,ECON 2,55Z,Principles of MicroeconomicsView Footnote,·······,TBA-TBA,Triyakshana Seshadri,ONLINE,OLLQ
26426,ECON 2,56Z,Principles of MicroeconomicsView Footnote,·······,TBA-TBA,Ninos Malek,ONLINE,OL
27032,ECON 2,57Z,Principles of MicroeconomicsView Footnote,·······,TBA-TBA,Stephen Blohm,ONLINE,OL
28008,ECON 2H,01Y,Principles of Microeconomics - HONORSView Footnote,··W····,01:30 PM-03:20 PM,Stephen Zill,S56,HYLQ
CLAS,·······,TBA-TBA,,ONLINE,,,,
27887,ECON 2H,52Z,Principles of Microeconomics - HONORSView Footnote,·······,TBA-TBA,Ravjeet Singh,ONLINE,OL
26430,ECON 3,50Z,Environmental EconomicsView Footnote,·······,TBA-TBA,Monika Thomas,ONLINE,OL
26425,ECON 5,50Z,Behavioral EconomicsView Footnote,·······,TBA-TBA,Triyakshana Seshadri,ONLINE,OL
27596,EDUC 46,13Z,Mathematics for Elementary Education,·T·R···,04:00 PM-06:15 PM,Reza Shariatmadari,ONLINE,OL
00674,ELIT 10,01Y,Introduction to FictionView Footnote,·T·····,10:30 AM-12:20 PM,Julie Sartwell,L84,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26814,ELIT 10,02Z,Introduction to FictionView Footnote,M·W····,10:30 AM-12:20 PM,Deborah Garfinkle,ONLINE,OL
24405,ELIT 11,01Y,Introduction to PoetryView Footnote,·T·····,01:30 PM-03:20 PM,Veronica Acevedo Avila,MLC109,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26038,ELIT 17,50Z,Introduction to ShakespeareView Footnote,·······,TBA-TBA,Julie Pesano,ONLINE,OL
27977,ELIT 17H,50Z,Introduction to Shakespeare - HONORSView Footnote,·······,TBA-TBA,Julie Pesano,ONLINE,OL
25464,ELIT 21,50Z,Women in LiteratureView Footnote,·······,TBA-TBA,Francesca Caparas,ONLINE,$LOL
24915,ELIT 22,50Z,Mythology and FolkloreView Footnote,·······,TBA-TBA,Adam Sandel,ONLINE,OL
27627,ELIT 24,60Z,Asian Pacific American LiteratureView Footnote,·······,TBA-TBA,Francesca Caparas,ONLINE,OL
27269,ELIT 39,50Z,Contemporary LiteratureView Footnote,·······,TBA-TBA,Kim Palmore,ONLINE,OL
25465,ELIT 46C,01,Major British Writers (Victorian and Modern)View Footnote,M·W····,10:30 AM-12:20 PM,Tim Shively,MLC110,
00688,ELIT 48A,01,"Major American Writers (Colonial to Romantic, 1620-1865)View Footnote",M·W····,01:30 PM-03:20 PM,Brian Malone,MLC112,
25401,ES 1,50Z,Introduction to Environmental StudiesView Footnote,·······,TBA-TBA,Alicia De Toro,ONLINE,OL
25405,ES 1,51Z,Introduction to Environmental StudiesView Footnote,·······,TBA-TBA,William Roeder,ONLINE,$0OL
25406,ES 1,52Z,Introduction to Environmental StudiesView Footnote,·······,TBA-TBA,William Roeder,ONLINE,$0OL
27817,ES 1,53Z,Introduction to Environmental StudiesView Footnote,·······,TBA-TBA,William Roeder,ONLINE,$0OLLQ
27827,ES 1,54Z,Introduction to Environmental StudiesView Footnote,·······,TBA-TBA,Joshua McCluskey,ONLINE,OLLQ
26061,ES 2,50Z,Introduction to SustainabilityView Footnote,·······,TBA-TBA,Alicia De Toro,ONLINE,OL
20942,ES 3,50Z,Imagery of the EnvironmentView Footnote,·······,TBA-TBA,Lynn Thorensen,ONLINE,OL
27828,ES 3,51Z,Imagery of the EnvironmentView Footnote,·······,TBA-TBA,Lynn Thorensen,ONLINE,OLLQ
27819,ES 4,01Z,"Energy, the Environment, and SocietyView Footnote",·······,TBA-TBA,William Roeder,ONLINE,$0OLLQ
21691,ES 50,50Z,Introduction to Environmental Resource Management and Pollution PreventionView Footnote,·······,TBA-TBA,Jeff Staudinger,ONLINE,OL
27793,ESCI 1,01Y,Environmental ScienceView Footnote,··W····,01:30 PM-03:20 PM,Alicia De Toro,KC112,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
02508,ESCI 1,01Z,Environmental ScienceView Footnote,·T·R···,01:30 PM-03:20 PM,Helian Ratsirarson,ONLINE,OL
27832,ESCI 1,02Z,Environmental ScienceView Footnote,·······,TBA-TBA,Helian Ratsirarson,ONLINE,OL
27795,ESCI 1,50Z,Environmental ScienceView Footnote,·······,TBA-TBA,Alicia De Toro,ONLINE,OLLQ
27798,ESCI 1,51Z,Environmental ScienceView Footnote,·······,TBA-TBA,Ryan Phillips,ONLINE,OL
23135,ESCI 1,52Z,Environmental ScienceView Footnote,·······,TBA-TBA,Ryan Phillips,ONLINE,OL
24226,ESCI 1,53Z,Environmental ScienceView Footnote,·······,TBA-TBA,Mary Poffenroth,ONLINE,OL
27830,ESCI 1,54Z,Environmental ScienceView Footnote,·······,TBA-TBA,Jana Sanders,ONLINE,OLLQ
27829,ESCI 1,55Z,Environmental ScienceView Footnote,·······,TBA-TBA,Helian Ratsirarson,ONLINE,OLLQ
26149,ESCI 1,56Z,Environmental ScienceView Footnote,·······,TBA-TBA,Mary Poffenroth,ONLINE,OL
24871,ESCI 1L,01,Environmental Science LaboratoryView Footnote,M······,09:30 AM-12:20 PM,Joshua McCluskey,KC115,
20302,ESCI 1L,02,Environmental Science LaboratoryView Footnote,··W····,09:30 AM-12:20 PM,Joshua McCluskey,KC115,
27114,ESCI 1L,03,Environmental Science LaboratoryView Footnote,·T·····,12:30 PM-03:20 PM,Joshua McCluskey,KC115,
27821,ESCI 1L,01UM,Environmental Science LaboratoryView Footnote,··W····,10:30 AM-01:20 PM,Alicia De Toro,KC112,
27314,ESCI 19,03Y,Environmental BiologyView Footnote,·······,TBA-TBA,Gayatri Pal,ONLINE,HY
LAB,·T·····,09:30 AM-12:20 PM,,KC120,,,,
02543,ESL 5,01Y,Advanced Composition and ReadingView Footnote,M······,09:30 AM-11:20 AM,Katelyn Endow,L34,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
23313,ESL 5,50Z,Advanced Composition and ReadingView Footnote,M·W····,06:30 PM-08:45 PM,Kathleen Haven,ONLINE,OL
00719,ESL 5,51Z,Advanced Composition and ReadingView Footnote,·······,TBA-TBA,Iva Tracey,ONLINE,OL
21829,ESL 5,52Z,Advanced Composition and ReadingView Footnote,·······,TBA-TBA,Maria Marin,ONLINE,$LOL
25689,EWRT 1A,00KED,Composition and ReadingView Footnote,M·W····,10:30 AM-12:20 PM,Jesus Quintero,L81,LC
TBA,·······,TBA-TBA,,ONLINE,,,,
00881,EWRT 1A,00VQD,Composition and ReadingView Footnote,··W····,01:30 PM-03:20 PM,Francesca Caparas,MLC109,$LLC
TBA,·······,TBA-TBA,,ONLINE,,,,
24906,EWRT 1A,01Q,Composition and ReadingView Footnote,M·W····,07:30 AM-09:20 AM,John Swensson,MLC103,
TBA,·······,TBA-TBA,,ONLINE,,,,
24908,EWRT 1A,02Q,Composition and ReadingView Footnote,M·W····,08:30 AM-10:20 AM,Julie Wilson,L46,
TBA,·······,TBA-TBA,,ONLINE,,,,
24910,EWRT 1A,03Q,Composition and ReadingView Footnote,M······,08:30 AM-10:20 AM,Sergio Rizzo,L82,
CLAS,··W····,08:30 AM-10:20 AM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
24912,EWRT 1A,04Q,Composition and ReadingView Footnote,·T·R···,08:30 AM-10:20 AM,Sherwin Mendoza,L46,
TBA,·······,TBA-TBA,,ONLINE,,,,
00873,EWRT 1A,05Q,Composition and ReadingView Footnote,·T·····,08:30 AM-10:20 AM,Anne Marie Waldsmith,L82,
CLAS,···R···,08:30 AM-10:20 AM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
00841,EWRT 1A,06Q,Composition and ReadingView Footnote,M·W····,09:30 AM-11:20 AM,Anne Argyriou,L73A,
TBA,·······,TBA-TBA,,ONLINE,,,,
02685,EWRT 1A,07Q,Composition and ReadingView Footnote,M······,09:30 AM-11:20 AM,Sherwin Mendoza,L31,
CLAS,··W····,09:30 AM-11:20 AM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
23985,EWRT 1A,08Q,Composition and ReadingView Footnote,·T·R···,09:30 AM-11:20 AM,Kim Palmore,L73A,
TBA,·······,TBA-TBA,,ONLINE,,,,
00842,EWRT 1A,09Q,Composition and ReadingView Footnote,·T·····,09:30 AM-11:20 AM,Maryalice Bonilla,L66,$0
CLAS,···R···,09:30 AM-11:20 AM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
21998,EWRT 1A,01PQ,Composition and ReadingView Footnote,M·W····,10:30 AM-12:20 PM,Lydia Hearn,MLC108,
TBA,·······,TBA-TBA,,ONLINE,,,,
27297,EWRT 1A,01QD,Composition and ReadingView Footnote,·T·R···,10:30 AM-12:20 PM,Vivian Bejarin,L75,LC
TBA,·······,TBA-TBA,,ONLINE,,,,
27841,EWRT 1A,01SQ,Composition and ReadingView Footnote,M·W····,10:30 AM-12:20 PM,Brian Malone,L66,CS
TBA,·······,TBA-TBA,,ONLINE,,,,
27299,EWRT 1A,01UM,Composition and ReadingView Footnote,M·W····,10:30 AM-12:20 PM,Julie Wilson,MLC109,
TBA,·······,TBA-TBA,,ONLINE,,,,
24419,EWRT 1A,01WQ,Composition and ReadingView Footnote,·T·R···,01:30 PM-02:20 PM,Jesus Quintero,MLC108,
TBA,·······,TBA-TBA,,ONLINE,,,,
21997,EWRT 1A,10Q,Composition and ReadingView Footnote,M·W····,10:30 AM-12:20 PM,Margaret Hanzimanolis,L46,
TBA,·······,TBA-TBA,,ONLINE,,,,
25656,EWRT 1A,11Q,Composition and ReadingView Footnote,M······,10:30 AM-12:20 PM,Alexis Cattivera,L82,
CLAS,··W····,10:30 AM-12:20 PM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
00847,EWRT 1A,12Q,Composition and ReadingView Footnote,·T·R···,10:30 AM-12:20 PM,Rebecca Board Liljenstolpe,L46,
TBA,·······,TBA-TBA,,ONLINE,,,,
22574,EWRT 1A,13Q,Composition and ReadingView Footnote,·T·····,10:30 AM-12:20 PM,Veronica Acevedo Avila,L82,
CLAS,···R···,10:30 AM-12:20 PM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
02631,EWRT 1A,14Q,Composition and ReadingView Footnote,M·W····,11:30 AM-01:20 PM,John Swensson,ADM119,
TBA,·······,TBA-TBA,,ONLINE,,,,
21917,EWRT 1A,15Q,Composition and ReadingView Footnote,M······,11:30 AM-01:20 PM,Nga Huynh,L31,
CLAS,··W····,11:30 AM-01:20 PM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
20643,EWRT 1A,16Q,Composition and ReadingView Footnote,·T·R···,11:30 AM-01:20 PM,Sergio Rizzo,L73A,
TBA,·······,TBA-TBA,,ONLINE,,,,
24009,EWRT 1A,17Q,Composition and ReadingView Footnote,·T·····,11:30 AM-01:20 PM,Randie Wann,L31,
CLAS,···R···,11:30 AM-01:20 PM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
21915,EWRT 1A,18Q,Composition and ReadingView Footnote,M·W····,12:30 PM-02:20 PM,Rebecca Board Liljenstolpe,L46,
TBA,·······,TBA-TBA,,ONLINE,,,,
02684,EWRT 1A,19Q,Composition and ReadingView Footnote,M······,12:30 PM-02:20 PM,Maria Frangos,L82,
CLAS,··W····,12:30 PM-02:20 PM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
26217,EWRT 1A,02RQ,Composition and ReadingView Footnote,·······,TBA-TBA,Mary Cudahy,ONLINE,
00853,EWRT 1A,21Q,Composition and ReadingView Footnote,·T·····,12:30 PM-02:20 PM,Anna Lewis,L82,
CLAS,···R···,12:30 PM-02:20 PM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
26310,EWRT 1A,23Q,Composition and ReadingView Footnote,M······,01:30 PM-03:20 PM,Karen Chow,L31,
CLAS,··W····,01:30 PM-03:20 PM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
26313,EWRT 1A,24Q,Composition and ReadingView Footnote,·T·R···,01:30 PM-03:20 PM,Julie Sartwell,L73A,
TBA,·······,TBA-TBA,,ONLINE,,,,
26317,EWRT 1A,25Q,Composition and ReadingView Footnote,·T·····,01:30 PM-03:20 PM,Luis Limcolioc,L31,$0
CLAS,···R···,01:30 PM-03:20 PM,,ONLINE,,,,
TBA,·······,TBA-TBA,,ONLINE,,,,
27284,EWRT 1A,26Q,Composition and ReadingView Footnote,M·W····,05:30 PM-07:20 PM,Anna Lewis,ONLINE,
TBA,·······,TBA-TBA,,,,,,
27285,EWRT 1A,27Q,Composition and ReadingView Footnote,·T·R···,06:30 PM-08:20 PM,Mary Diehl,ONLINE,
TBA,·······,TBA-TBA,,,,,,
27286,EWRT 1A,28Q,Composition and ReadingView Footnote,·······,TBA-TBA,Jennifer Penkethman,ONLINE,
23014,EWRT 1A,33Y,Composition and ReadingView Footnote,M·W····,08:30 AM-09:20 AM,Ryan Dickson,L31,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
00857,EWRT 1A,34Y,Composition and ReadingView Footnote,·T·R···,08:30 AM-09:20 AM,Laura Orella,L31,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
00854,EWRT 1A,35Y,Composition and ReadingView Footnote,M······,08:30 AM-10:20 AM,Diane Furlan,L36,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
00845,EWRT 1A,37Y,Composition and ReadingView Footnote,M·W····,09:30 AM-10:20 AM,Todd Gutmann,S72,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
00850,EWRT 1A,38Y,Composition and ReadingView Footnote,·T·R···,09:30 AM-10:20 AM,Elliott Cragen,S72,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
25110,EWRT 1A,39Y,Composition and ReadingView Footnote,··W····,09:30 AM-11:20 AM,Diane Furlan,L31,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
02637,EWRT 1A,40Y,Composition and ReadingView Footnote,M·W····,10:30 AM-11:20 AM,Ryan Dickson,S72,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24596,EWRT 1A,41Y,Composition and ReadingView Footnote,M······,10:30 AM-12:20 PM,Azin Arefi Anbarani,S49,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
00852,EWRT 1A,42Y,Composition and ReadingView Footnote,·T·R···,10:30 AM-11:20 AM,Elliott Cragen,S72,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
00851,EWRT 1A,43Y,Composition and ReadingView Footnote,·T·····,10:30 AM-12:20 PM,Luis Limcolioc,S49,$0HY
TBA,·······,TBA-TBA,,ONLINE,,,,
02686,EWRT 1A,44Y,Composition and ReadingView Footnote,M·W····,11:30 AM-12:20 PM,Anne Argyriou,S72,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
25095,EWRT 1A,46Y,Composition and ReadingView Footnote,··W····,11:30 AM-01:20 PM,Todd Gutmann,L31,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26343,EWRT 1A,47Y,Composition and ReadingView Footnote,M······,01:30 PM-03:20 PM,Amy Leonard,S72,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
25102,EWRT 1A,48Y,Composition and ReadingView Footnote,·T·····,01:30 PM-03:20 PM,Mary Cudahy,S72,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
25493,EWRT 1A,52Z,Composition and ReadingView Footnote,·······,TBA-TBA,Brian Malone,ONLINE,OL
25494,EWRT 1A,53Z,Composition and ReadingView Footnote,·······,TBA-TBA,Maryalice Bonilla,ONLINE,OL
25495,EWRT 1A,54Z,Composition and ReadingView Footnote,·······,TBA-TBA,Mary Diehl,ONLINE,OL
25496,EWRT 1A,55Z,Composition and ReadingView Footnote,·······,TBA-TBA,Anne Marie Waldsmith,ONLINE,OL
25497,EWRT 1A,56Z,Composition and ReadingView Footnote,·······,TBA-TBA,Raymond Brennan,ONLINE,OL
